signal,entry_price,exit_price,qty,pnl,raw_pnl,fee,exit_idx,reason
SELL,69612.964622,69640.86909056132,0.0007182570124904341,-1.2010119451215155,-0.4008516044797236,0.8001603406417919,436,sl
SELL,69443.188584,69457.65541691177,0.0007191482767577049,-1.0071983800003976,-0.20807595917282562,0.799122420827572,552,sl
BUY,69482.863794,69456.58747664452,0.0007180128561144882,-1.1754171713221706,-0.37733467345164867,0.7980824978705219,597,sl
BUY,69584.84418599999,69641.74162287707,0.0007161159762315518,0.01728421177488393,0.8149032710861632,0.7976190593112793,716,tp
SELL,69645.608092,69681.5564214673,0.0007155035931331121,-1.311935872663364,-0.5144231780198913,0.7975126946434727,778,sl
