open,high,low,close,volume,timestamp
71280.00000000,71288.23000000,71180.00000000,71186.00000000,79.69747000,1711929600000
71186.01000000,71255.93000000,71172.09000000,71220.01000000,26.45610000,1711929660000
71220.01000000,71220.01000000,71130.00000000,71155.92000000,50.57502000,1711929720000
71155.92000000,71223.08000000,71107.71000000,71223.07000000,57.85907000,1711929780000
71223.07000000,71249.57000000,71215.95000000,71233.42000000,18.37316000,1711929840000
71233.42000000,71236.50000000,71215.61000000,71224.58000000,12.80809000,1711929900000
71224.58000000,71224.58000000,71115.73000000,71141.99000000,37.40004000,1711929960000
71142.00000000,71178.00000000,71141.99000000,71154.67000000,13.25701000,1711930020000
71154.68000000,71154.68000000,71140.92000000,71140.93000000,8.75771000,1711930080000
71140.93000000,71194.00000000,71140.92000000,71193.99000000,15.85775000,1711930140000
71194.00000000,71194.00000000,71124.00000000,71126.58000000,18.32985000,1711930200000
71126.57000000,71149.99000000,71126.57000000,71149.99000000,11.07326000,1711930260000
71149.98000000,71149.99000000,71136.40000000,71136.40000000,5.54330000,1711930320000
71136.40000000,71154.45000000,71136.40000000,71154.44000000,9.65076000,1711930380000
71154.45000000,71154.45000000,71140.00000000,71140.01000000,12.00127000,1711930440000
71140.00000000,71170.00000000,71107.50000000,71130.48000000,22.81975000,1711930500000
71130.49000000,71136.00000000,71102.00000000,71131.94000000,29.86629000,1711930560000
71131.93000000,71157.20000000,71130.63000000,71140.82000000,9.16880000,1711930620000
71140.82000000,71174.00000000,71140.82000000,71174.00000000,8.25693000,1711930680000
71173.99000000,71184.30000000,71173.99000000,71184.29000000,7.54287000,1711930740000
71184.30000000,71184.30000000,71164.00000000,71184.27000000,23.82494000,1711930800000
71184.27000000,71184.28000000,71152.49000000,71152.50000000,11.72717000,1711930860000
71152.50000000,71174.58000000,71152.49000000,71174.58000000,27.81761000,1711930920000
71174.58000000,71183.91000000,71174.57000000,71181.21000000,14.45660000,1711930980000
71181.21000000,71181.22000000,71181.21000000,71181.21000000,1.99213000,1711931040000
71181.21000000,71181.22000000,71178.38000000,71178.38000000,6.46661000,1711931100000
71178.39000000,71178.39000000,71115.24000000,71121.51000000,24.01102000,1711931160000
71121.51000000,71121.52000000,71065.40000000,71068.67000000,36.80255000,1711931220000
71068.68000000,71079.32000000,71068.67000000,71078.00000000,16.01929000,1711931280000
71077.99000000,71078.00000000,71077.99000000,71078.00000000,7.04773000,1711931340000
71077.99000000,71084.00000000,71061.05000000,71084.00000000,10.20200000,1711931400000
71084.00000000,71117.82000000,71083.99000000,71117.82000000,19.64895000,1711931460000
71117.81000000,71117.82000000,71082.00000000,71093.99000000,8.92577000,1711931520000
71094.00000000,71094.00000000,71083.33000000,71088.31000000,10.94060000,1711931580000
71088.32000000,71088.32000000,71072.01000000,71079.11000000,8.45820000,1711931640000
71079.12000000,71079.12000000,71043.77000000,71043.77000000,12.70238000,1711931700000
71043.78000000,71043.78000000,70990.00000000,71008.40000000,37.60484000,1711931760000
71008.41000000,71013.89000000,70983.63000000,71013.89000000,14.51586000,1711931820000
71013.89000000,71024.51000000,71013.88000000,71024.51000000,7.38249000,1711931880000
71024.50000000,71037.01000000,71016.26000000,71016.27000000,7.58567000,1711931940000
71016.27000000,71016.27000000,70931.32000000,70972.00000000,33.95747000,1711932000000
70971.99000000,70972.00000000,70913.31000000,70913.31000000,21.07177000,1711932060000
70913.32000000,70913.32000000,70844.14000000,70900.00000000,29.97012000,1711932120000
70899.99000000,70927.98000000,70899.99000000,70927.98000000,20.29005000,1711932180000
70927.98000000,70930.60000000,70903.01000000,70919.74000000,18.13854000,1711932240000
70919.75000000,70923.60000000,70880.00000000,70923.60000000,18.19483000,1711932300000
